nr_uzytkownika,gatunki,tytuly
1,"horror, sci-fi, akcja",dimension w,gdy zaplacza cykady,szkolne zycie,tokyo ghoul,x clamp,danganronpa
2,"komedia, fantasy, akcja",ao no exorcist,bungou stray dogs,fire force,iruma w szkole demonow,noragami,pandora hearts
3,"romans, fantasy, komedia",yona w blasku switu,shirayuki,re zero,pensjonat w zaswiatach,alicja w krainie serc,demon maiden zakuro
4,"przygodowe, fantasy, akcja, komedia",ao no exorcist,servamp,akame ga kill ,fire force,noragami,pandora hearts
5,"obyczjowy, komedia, romans",zapiski zielarki,wotakoi,przemina w jasniepana,kulinarne pojedynki,beztroskie dni,milosc to wojna
6,"horror, fantasy, kryminal",gdy zaplacza cykday,x clamp,tokyo ghoul,dead mount death play,akame ga kill,
7,"kryminal, horror, akcja",moriarty,bungou stray dogs,akame ga kill ,pamietnik przyszlosci,danganronpa,detektyw matsubase
8,"fantasy, komedia, romans",ao no exorcist,fire force,noragami,iruma w szkole demonow,karneval,
9,"romans, komedia, obyczajowy",wotakoi,yona w blasku switu,pensjonat w zaswiatach,demon maiden zakuro,milosc to wojna,
10,"horror, komedia, przygogowy",akame ga kill,bungou stray dogs,szkolne zycie,danganronpa,,
11,"akcja, komedia, przygodowy",ao no exorcist,noragami,bungou stray dogs,fire force,karneval,pandora hearts
12,"akcja, fantasy, komedia",ao no exorcist,akame ga kill,fire force,re zero,noragami,
13,"horror, akcja, kryminal",akame ga kill,moriarty,danganronpa,pamietnik przyszlosci,x clamp,
14,"kryminal, akcja, przygodowy",moriarty,danganronpa,detektyw matsubase,pamietnik przyszlosci,,
15,"akcja, komedia, romans",ao no exorcist,noragami,bungou stray dogs,pandora hearts,karneval,demon maiden zakuro
16,"romans, komedia, obyczajowy",wotakoi, milosc to wojna,demon maiden zakuro,alicja w krainie serc,yona w blasku switu,
